code	rate	name	restriction	abbr
1	0.0719	Alabama	5	AL
2	0.0280	Alaska	4	AK
4	0.0419	Arizona	5	AZ
5	0.0296	Arkansas	4	AR
6	0.0100	California	3	CA
8	0.0093	Colorado	3	CO
9	0.0081	Connecticut	3	CT
10	0.0370	Delaware	5	DE
12	0.1042	Florida	5	FL
13	0.0383	Georgia	4	GA
15	0.0056	Hawaii	2	HI
16	0.0224	Idaho	4	ID
17	0.0052	Illinois	2	IL
18	0.0060	Indiana	2	IN
19	0.0094	Iowa	4	IA
20	0.0087	Kansas	4	KS
21	0.0735	Kentucky	5	KY
22	0.0328	Louisiana	4	LA
23	0.0000	Maine	1	ME
24	0.0144	Maryland	4	MD
25	0.0025	Massachusetts	2	MA
26	0.0061	Michigan	2	MI
27	0.0147	Minnesota	4	MN
28	0.0827	Mississippi	5	MS
29	0.0232	Missouri	4	MO
30	0.0052	Montana	2	MT
31	0.0130	Nebraska	5	NE
32	0.0424	Nevada	5	NV
33	0.0029	New Hampshire	2	NH
34	0.0149	New Jersey	4	NJ
35	0.0184	New Mexico	4	NM
36	0.0072	New York	3	NY
37	0.0114	North Carolina	4	NC
38	0.0030	North Dakota	2	ND
39	0.0061	Ohio	2	OH
40	0.0182	Oklahoma	4	OK
41	0.0050	Oregon	2	OR
42	0.0055	Pennsylvania	2	PA
44	0.0041	Rhode Island	2	RI
45	0.0122	South Carolina	4	SC
46	0.0105	South Dakota	3	SD
47	0.0705	Tennessee	5	TN
48	0.0291	Texas	4	TX
49	0.0040	Utah	2	UT
50	0.0000	Vermont	1	VT
51	0.0734	Virginia	5	VA
53	0.0103	Washington	4	WA
54	0.0107	West Virginia	4	WV
55	0.0152	Wisconsin	4	WI
56	0.0599	Wyoming	5	WY
